compound_id,blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,kpuu_numerator,kpuu_denominator,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,cassette_mrt,full_pk_mrt,qsar_mrt
SYN-0001,3.64404,0.670016,0.00566102,1.73232,0.378281,0.021501,0.121511,2.61346,1.049,1.67612,6.52826,2.4,3.14372,4.68898,2.87271
SYN-0002,3.0311,0.255985,0.00989185,0.262894,0.532804,0.00193086,0.00843058,1.202,0.724621,1.40969,3.2195,1.02289,1.37142,2.22508,1.94474
SYN-0003,2.59613,0.189037,0.0532739,4.07844,0.0301813,0.00374622,0.13133,3.41716,2.34259,13.1642,6.28967,18,1.59,2.13031,1.00211
SYN-0004,0.00851636,0.0394645,0.00664241,3.58873,0.27237,0.000200596,0.00109327,0.66145,0.696711,1.11391,1.3957,0.745967,2.31337,1.71494,2.80875
SYN-0005,0.887847,0.144011,0.010408,2.93055,0.273779,0.000225949,0.000688178,3.671,2.80949,24.1903,3.91122,18,1.59,5.2373,2.49561
SYN-0006,0.404319,1.91987,0.0330685,3.027,1,0.0483006,0.0100793,1.26477,0.974829,2.60097,0.860885,1.1,3.3543,3.59949,3.06266
SYN-0007,0.0755714,0.209796,0.0839191,5.57833,1,0.0198862,0.0142733,1.96825,1.91205,1.06017,3.655,1.1,0.867761,0.756758,1.10427
SYN-0008,0.305665,0.0572311,0.0138998,1.60325,0.0798987,0.000569375,0.0102233,7.83182,19.518,43.532,12.4357,9.79024,1.21083,1.3679,1.58
SYN-0009,0.335195,0.51333,0.00435716,6.31543,0.101624,0.0014676,0.0116951,2.07671,1.5,4.65331,3.65912,3.1,3.18294,5.72199,2.57962
SYN-0010,0.327808,0.168472,0.00179406,0.302716,0.0839457,0.000801616,0.00344784,1.4447,1.0568,0.974143,3.63365,1.5,2.5899,4.43095,1.81268
SYN-0011,0.583771,1.12758,0.0017521,0.230731,0.646952,0.0037667,0.00191491,0.677684,0.602593,2.64042,0.951749,1.8,0.987496,0.652447,1.44638
SYN-0012,14.0399,0.545222,0.08856,0.364355,0.0932363,0.00957186,0.0891618,5.05423,16.0368,6.27675,8.22535,9.57738,0.579965,2.12395,0.667905
SYN-0013,0.903047,0.229139,0.0759865,4.12963,0.306287,0.0226982,0.0678992,4.91146,2.44585,4.59931,3.95216,13,1.28229,1.69105,0.661904
SYN-0014,0.163602,0.089248,0.00144289,0.169458,0.207657,0.000209031,0.00135622,1.592,1.08224,0.815503,4.70985,0.88645,6.87136,4.60159,5.94925
SYN-0015,0.383441,1.2448,0.0064,1.68634,0.361812,0.0483006,0.115708,1.27976,2.28077,4.55386,5.61,3.27263,2.31423,1.65854,0.942873
SYN-0016,0.0409667,0.0422285,0.00715065,3.72539,0.00200818,0.000117288,0.0036575,4.98141,2.26974,2.10669,30.1138,4,0.723786,0.454458,1.36219
SYN-0017,1.52191,0.533444,0.205641,5.58448,1,0.0498493,0.0713568,0.87,0.85614,2.05592,1.44,1.4,1.59302,3.50748,1.88
SYN-0018,0.0150054,0.111689,0.00196323,2.6785,0.0853795,0.00029874,0.0107837,0.649472,0.518211,2.15232,0.63335,1.8,2.72132,5.93356,5.49837
SYN-0019,0.24764,0.417407,0.0609235,2.14166,1,0.00735263,0.00843583,0.713685,1.36477,1.0125,0.732242,0.89,2.15737,2.82511,1.28
SYN-0020,2.83574,0.163424,0.0330542,15.2947,0.170188,0.00153779,0.0123447,17.4235,3.06562,1.315,11.4369,0.829105,3.28908,3.84516,1.65
SYN-0021,0.0344715,0.95286,0.000881666,0.9892,0.647036,0.000871636,0.000871697,0.652712,1.57512,1.40866,1.38,2.4,0.972303,0.787859,0.832971
SYN-0022,0.903047,0.348763,0.0138942,9.94976,0.105533,0.00115402,0.0110319,3.55438,1.4,1.40734,1.63,1.2,6.63777,5.71092,3.43366
SYN-0023,0.206151,0.827216,0.00290783,2.09216,0.27005,0.00337563,0.0406789,0.617175,0.540127,0.556899,1.44415,0.604528,5.42891,3.78133,3.12888
SYN-0024,0.203773,0.116861,0.0349742,3.56024,1,0.00182236,0.00522548,0.790511,0.881951,0.922703,1.478,1.7,0.481551,0.653467,0.716114
SYN-0025,0.010706,0.176823,0.0293681,1.95312,1,0.00555967,0.00211288,0.650906,0.601578,3.45988,3.22,5.5569,0.753475,0.765064,1.46584
SYN-0026,2.2537,0.146565,0.00806559,0.518915,0.054649,0.000704821,0.0495103,17.286,18.4344,6.124,38.8758,6.66526,0.878,0.898364,0.46757
SYN-0027,0.265046,0.0657123,0.0438842,2.06813,0.00921137,0.000423225,0.0104926,2.2109,1.48924,1.4222,7.15538,4.5,2.08052,4.43348,2.46
SYN-0028,0.018799,0.10572,0.00170448,2.05745,1,0.00102994,0.00114074,0.859734,1.32273,0.59527,0.871817,1.3,8.29032,6.50719,5.96
SYN-0029,0.0807555,0.232126,0.0950659,62.9996,0.291637,0.0199679,0.113534,0.695463,0.64176,0.951434,1.46311,0.881041,3.56,4.2094,5.35091
SYN-0030,0.165308,0.0541901,0.09237,37.0288,1,0.0120231,0.00793017,2.36223,1.24476,0.951942,3.71912,1,4.35764,4.92215,2.21228
SYN-0031,1.41639,0.10295,0.0485514,5.49347,0.0243247,0.00685298,0.123462,16.8848,9.48679,13.798,9.82627,3.2,2.8322,6.4059,6.27377
SYN-0032,0.0441014,0.0602568,0.0319253,1.39162,0.374453,0.0008006,0.00191992,1.694,1.39404,2.23632,4.0255,4.5,1.38358,2.8181,2.5653
SYN-0033,2.43596,0.217688,0.0596715,9.35626,1,0.0314781,0.0064354,4.2093,3.07202,1.03101,4.48,1.2,2.34863,1.38986,1.87104
SYN-0034,1.22014,1.12009,0.0354057,15.5478,1,0.0498493,0.0451074,2.61,1.29299,0.98499,1.43673,0.843988,3.83916,3.38105,2.46516
SYN-0035,0.559091,4.12937,0.0299,1.5498,1,0.021501,0.0403296,0.680175,0.495609,0.831565,1.61433,1.5,1.59,1.69421,0.978754
SYN-0036,0.819915,0.246877,0.0284295,2.59459,0.300714,0.00489054,0.0233465,3.214,2.90759,1.83949,4.48,7.20805,1.71904,1.96143,2.26151
SYN-0037,0.21645,1.5761,0.00337608,2.52711,1,0.00123414,0.000732526,1.9485,1.5,8.226,2.91004,1.89635,2.93792,2.79304,2.50071
