Threshold,Action_Set,Average_Utility,Frequency
0.3,"[""100nM_PgP""]",3709.7494559333427,1
0.3,"[""100nM_BCRP""]",3020.274451469554,4
0.3,"[""100nM_PgP"", ""100nM_BCRP""]",3358.5984678677696,2
0.3,"[""100nM_PgP"", ""1uM_PgP""]",3498.160939143274,1
0.3,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",3266.594672104086,11
1.0,"[""1uM_PgP""]",404.880387420094,12
0.7,"[""1uM_PgP""]",407.5715999772846,17
0.0,"[""kpuu""]",4000.214681146963,47
0.0,"[""100nM_PgP"", ""kpuu""]",46767.9910393965,2
0.0,"[""kpuu"", ""100nM_BCRP""]",62091.62160160031,1
0.2,"[""kpuu""]",3999.62199312715,3
0.2,"[""100nM_BCRP""]",3480.847277764502,2
0.9,"[""1uM_PgP""]",405.05691299999705,10
0.8,"[""1uM_PgP""]",406.66681454837,16
0.5,"[""100nM_PgP"", ""1uM_PgP""]",801.0367843753518,7
0.5,"[""1uM_PgP""]",409.7301813696371,30
0.5,"[""1uM_PgP"", ""100nM_BCRP""]",804.2469872643019,13
0.1,"[""kpuu""]",3999.908358588607,14
0.1,"[""100nM_BCRP""]",3555.9273767269533,3
0.4,"[""100nM_BCRP""]",2571.648850690951,4
0.4,"[""100nM_PgP"", ""1uM_PgP""]",1716.0973693924132,8
0.4,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",2190.21702751081,7
0.4,"[""1uM_PgP""]",946.7130234121126,16
0.4,"[""1uM_PgP"", ""100nM_BCRP""]",1662.1127759054382,13
0.6,"[""100nM_PgP"", ""1uM_PgP""]",800.3921918174518,3
0.6,"[""1uM_PgP""]",408.76048138857266,26
