Threshold,Action_Set,Average_Utility,Frequency
0.3,"[""kpuu""]",3999.8909223511528,4
0.3,"[""100nM_BCRP""]",3442.6824144517414,2
0.3,"[""100nM_PgP"", ""100nM_BCRP""]",3041.1176465342314,9
1.0,"[""1uM_PgP""]",540.4134330143228,12
0.7,"[""100nM_PgP"", ""1uM_PgP""]",903.4616613356801,3
0.7,"[""1uM_PgP""]",547.7707964899596,13
0.7,"[""1uM_PgP"", ""100nM_BCRP""]",911.7883187261688,1
0.0,"[""kpuu""]",34486.20095313028,4
0.0,"[""100nM_PgP"", ""kpuu""]",36377.61289325764,27
0.0,"[""kpuu"", ""1uM_PgP"", ""100nM_BCRP""]",119972.01911379833,3
0.0,"[""kpuu"", ""1uM_PgP""]",61741.81879555085,11
0.0,"[""100nM_PgP"", ""1uM_PgP""]",130861.29026709995,1
0.0,"[""1uM_PgP""]",50439.14837736779,3
0.0,"[""100nM_PgP"", ""kpuu"", ""1uM_PgP""]",120197.04829748729,1
0.2,"[""kpuu""]",3999.868491193415,11
0.2,"[""100nM_BCRP""]",3823.9572993964694,2
0.2,"[""100nM_PgP"", ""100nM_BCRP""]",3317.287231201558,5
0.9,"[""100nM_PgP"", ""1uM_PgP""]",904.3823590886905,1
0.9,"[""1uM_PgP""]",536.7658684312971,7
0.8,"[""100nM_PgP"", ""1uM_PgP""]",906.5963827323811,4
0.8,"[""1uM_PgP""]",544.2979762653063,11
0.5,"[""100nM_PgP"", ""1uM_PgP""]",909.9666390768099,14
0.5,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",1211.5600147100968,3
0.5,"[""1uM_PgP""]",547.8578482876113,16
0.5,"[""1uM_PgP"", ""100nM_BCRP""]",918.3943415405432,10
0.1,"[""kpuu""]",3999.982253267343,44
0.1,"[""100nM_PgP"", ""kpuu""]",4399.908493469759,2
0.1,"[""kpuu"", ""1uM_PgP""]",4398.833664678589,1
0.1,"[""kpuu"", ""100nM_BCRP""]",4400.0,3
0.4,"[""100nM_BCRP""]",2800.5872134848314,1
0.4,"[""100nM_PgP"", ""100nM_BCRP""]",2538.832657663708,1
0.4,"[""100nM_PgP"", ""1uM_PgP""]",938.2269559920843,8
0.4,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",1214.2958966768877,21
0.4,"[""1uM_PgP"", ""100nM_BCRP""]",937.5277074565054,18
0.6,"[""100nM_PgP"", ""1uM_PgP""]",905.451043948904,6
0.6,"[""100nM_PgP"", ""1uM_PgP"", ""100nM_BCRP""]",1209.2315495815394,1
0.6,"[""1uM_PgP""]",545.8001999566169,12
0.6,"[""1uM_PgP"", ""100nM_BCRP""]",914.6138557161303,5
