row,compound_id,n_iter,ens,seed,eps,mlasp,cost,freq,elapsed_s
1,SYN-0001,2000,10,1001,0.0,"[""kpuu""; ""1uM_PgP""]",4400.0,6,84.5
1,SYN-0001,2000,10,1001,0.1,"[""kpuu""]",4000.0,4,84.5
1,SYN-0001,2000,10,1001,0.2,"[""kpuu""]",4000.0,3,84.5
1,SYN-0001,2000,10,1001,0.3,"[""kpuu""]",4000.0,5,84.5
1,SYN-0001,2000,10,1001,0.4,"[""kpuu""]",4000.0,4,84.5
1,SYN-0001,2000,10,1001,0.5,"[""kpuu""]",4000.0,2,84.5
1,SYN-0001,2000,10,1001,0.6,"[""kpuu""]",4000.0,2,84.5
1,SYN-0001,2000,10,1001,0.7,"[""kpuu""]",4000.0,1,84.5
1,SYN-0001,2000,10,1001,0.8,"[""kpuu""]",4000.0,3,84.5
1,SYN-0001,2000,10,1001,1.0,"[""kpuu""]",4000.0,1,84.5
1,SYN-0001,20000,10,1001,0.0,"[""kpuu""; ""1uM_PgP""]",4400.0,7,935.6
1,SYN-0001,20000,10,1001,0.1,"[""kpuu""]",4000.0,6,935.6
1,SYN-0001,20000,10,1001,0.2,"[""kpuu""]",4000.0,3,935.6
1,SYN-0001,20000,10,1001,0.3,"[""kpuu""]",4000.0,5,935.6
1,SYN-0001,20000,10,1001,0.4,"[""kpuu""]",4000.0,5,935.6
1,SYN-0001,20000,10,1001,0.5,"[""kpuu""]",4000.0,2,935.6
1,SYN-0001,20000,10,1001,0.6,"[""kpuu""]",4000.0,4,935.6
1,SYN-0001,20000,10,1001,0.7,"[""kpuu""]",4000.0,1,935.6
1,SYN-0001,20000,10,1001,0.8,"[""kpuu""]",4000.0,3,935.6
1,SYN-0001,20000,10,1001,0.9,"[""kpuu""]",4000.0,1,935.6
1,SYN-0001,20000,10,1001,1.0,"[""kpuu""]",4000.0,1,935.6
25,SYN-0025,2000,10,1025,0.0,"[""100nM_PgP""; ""kpuu""]",4400.0,4,59.8
25,SYN-0025,2000,10,1025,0.1,"[""100nM_PgP""; ""1uM_PgP""]",800.0,7,59.8
25,SYN-0025,2000,10,1025,0.2,"[""100nM_PgP""; ""1uM_PgP""]",800.0,2,59.8
25,SYN-0025,2000,10,1025,0.3,"[""100nM_PgP""; ""1uM_PgP""]",800.0,2,59.8
25,SYN-0025,2000,10,1025,0.4,"[""100nM_PgP""; ""1uM_PgP""]",800.0,4,59.8
25,SYN-0025,2000,10,1025,0.5,"[""100nM_PgP""; ""1uM_PgP""]",800.0,2,59.8
25,SYN-0025,2000,10,1025,0.6,"[""100nM_PgP""; ""1uM_PgP""]",800.0,1,59.8
25,SYN-0025,2000,10,1025,0.7,"[""1uM_PgP""; ""100nM_BCRP""]",800.0,4,59.8
25,SYN-0025,2000,10,1025,0.9,"[""100nM_PgP""; ""100nM_BCRP""]",800.0,2,59.8
25,SYN-0025,20000,10,1025,0.0,"[""kpuu""; ""1uM_PgP""]",4400.0,4,582.4
25,SYN-0025,20000,10,1025,0.1,"[""100nM_PgP""; ""1uM_PgP""]",800.0,4,582.4
